danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.605,0.578,1,-9.252,1,0.0316,0.173,5.15e-05,0.0948,0.655,133.721,audio_features,4qvxbMYS7vIra7JTxYW7pt,spotify:track:4qvxbMYS7vIra7JTxYW7pt,https://api.spotify.com/v1/tracks/4qvxbMYS7vIra7JTxYW7pt,https://api.spotify.com/v1/audio-analysis/4qvxbMYS7vIra7JTxYW7pt,195747,4
0.615,0.401,4,-14.07,0,0.0507,0.203,0.0,0.086,0.672,87.959,audio_features,5FlBGGwGuqYmqr0qeBWrxe,spotify:track:5FlBGGwGuqYmqr0qeBWrxe,https://api.spotify.com/v1/tracks/5FlBGGwGuqYmqr0qeBWrxe,https://api.spotify.com/v1/audio-analysis/5FlBGGwGuqYmqr0qeBWrxe,264960,4
0.311,0.325,2,-9.042,1,0.0283,0.0469,0.0,0.139,0.668,65.09,audio_features,25yQPHgC35WNnnOUqFhgVR,spotify:track:25yQPHgC35WNnnOUqFhgVR,https://api.spotify.com/v1/tracks/25yQPHgC35WNnnOUqFhgVR,https://api.spotify.com/v1/audio-analysis/25yQPHgC35WNnnOUqFhgVR,208467,1
0.435,0.428,6,-11.747,1,0.0268,0.171,0.000708,0.149,0.61,95.534,audio_features,32ssNweOtmacNBEC2kHzA8,spotify:track:32ssNweOtmacNBEC2kHzA8,https://api.spotify.com/v1/tracks/32ssNweOtmacNBEC2kHzA8,https://api.spotify.com/v1/audio-analysis/32ssNweOtmacNBEC2kHzA8,187693,4
0.316,0.756,8,-6.315,1,0.1,0.294,0.429,0.351,0.332,165.963,audio_features,5Zyv0v4rPcrXjkaeImuodv,spotify:track:5Zyv0v4rPcrXjkaeImuodv,https://api.spotify.com/v1/tracks/5Zyv0v4rPcrXjkaeImuodv,https://api.spotify.com/v1/audio-analysis/5Zyv0v4rPcrXjkaeImuodv,221827,4
0.304,0.77,9,-11.67,1,0.07,0.117,0.0,0.157,0.592,189.419,audio_features,3Jw1RfDEUEBBIIyNjGt9xP,spotify:track:3Jw1RfDEUEBBIIyNjGt9xP,https://api.spotify.com/v1/tracks/3Jw1RfDEUEBBIIyNjGt9xP,https://api.spotify.com/v1/audio-analysis/3Jw1RfDEUEBBIIyNjGt9xP,174760,4
0.355,0.761,11,-6.309,1,0.0978,0.000288,0.0141,0.189,0.685,165.209,audio_features,77oq56JTlEBzAH7KNZHvx1,spotify:track:77oq56JTlEBzAH7KNZHvx1,https://api.spotify.com/v1/tracks/77oq56JTlEBzAH7KNZHvx1,https://api.spotify.com/v1/audio-analysis/77oq56JTlEBzAH7KNZHvx1,189848,4
0.318,0.303,11,-15.572,0,0.0302,0.664,0.000223,0.113,0.226,174.254,audio_features,1XuccRABkfUVB4FjSVhjL1,spotify:track:1XuccRABkfUVB4FjSVhjL1,https://api.spotify.com/v1/tracks/1XuccRABkfUVB4FjSVhjL1,https://api.spotify.com/v1/audio-analysis/1XuccRABkfUVB4FjSVhjL1,197275,4
0.401,0.556,2,-10.532,1,0.0513,0.0828,0.000359,0.589,0.654,85.206,audio_features,6Pq9MmkDQYZiiCDpxnvrf6,spotify:track:6Pq9MmkDQYZiiCDpxnvrf6,https://api.spotify.com/v1/tracks/6Pq9MmkDQYZiiCDpxnvrf6,https://api.spotify.com/v1/audio-analysis/6Pq9MmkDQYZiiCDpxnvrf6,275867,4
0.404,0.591,11,-12.277,1,0.0724,0.256,0.0346,0.177,0.654,82.44,audio_features,74ohdXevc7VsXl96ofi3Kn,spotify:track:74ohdXevc7VsXl96ofi3Kn,https://api.spotify.com/v1/tracks/74ohdXevc7VsXl96ofi3Kn,https://api.spotify.com/v1/audio-analysis/74ohdXevc7VsXl96ofi3Kn,208667,4
0.584,0.284,7,-12.714,1,0.0409,0.305,0.000903,0.162,0.386,139.087,audio_features,3tRFo1mXVNC5Wwrv7T8trF,spotify:track:3tRFo1mXVNC5Wwrv7T8trF,https://api.spotify.com/v1/tracks/3tRFo1mXVNC5Wwrv7T8trF,https://api.spotify.com/v1/audio-analysis/3tRFo1mXVNC5Wwrv7T8trF,86693,4
0.558,0.524,4,-10.528,1,0.0339,0.109,0.0,0.17,0.727,123.243,audio_features,1yexhSDARSLVvRCBU3wDAm,spotify:track:1yexhSDARSLVvRCBU3wDAm,https://api.spotify.com/v1/tracks/1yexhSDARSLVvRCBU3wDAm,https://api.spotify.com/v1/audio-analysis/1yexhSDARSLVvRCBU3wDAm,188240,4
0.467,0.381,0,-13.808,1,0.0264,0.235,0.123,0.187,0.697,81.754,audio_features,1Qc7zCw6k2KTvSEl4IKSdP,spotify:track:1Qc7zCw6k2KTvSEl4IKSdP,https://api.spotify.com/v1/tracks/1Qc7zCw6k2KTvSEl4IKSdP,https://api.spotify.com/v1/audio-analysis/1Qc7zCw6k2KTvSEl4IKSdP,350467,4
0.472,0.526,0,-9.505,1,0.0309,0.00291,0.000173,0.181,0.771,119.44,audio_features,41TqRBgF4Ahyr4vGmZVk8b,spotify:track:41TqRBgF4Ahyr4vGmZVk8b,https://api.spotify.com/v1/tracks/41TqRBgF4Ahyr4vGmZVk8b,https://api.spotify.com/v1/audio-analysis/41TqRBgF4Ahyr4vGmZVk8b,173987,4
